ID,START TIME,END TIME,AREA ID,AREA NAME,HOUSE ID,HOUSE NAME,TYPE
345,2015-12-15 17:42:35.331331,2015-12-15 19:09:20.048000,2,Rancho Grande Landerwood,74,929 W Kaler Dr,HOUSE,
331,2015-12-15 12:55:05.805526,2015-12-15 16:13:51.804000,2,Rancho Grande Landerwood,97,7630 N 9th Ave,HOUSE,
342,2015-12-15 17:01:37.830515,2015-12-15 19:12:38.057000,2,Rancho Grande Landerwood,91,922 W Kaler Dr,HOUSE,
332,2015-12-15 15:34:06.458752,2015-12-15 16:27:16.310000,2,Rancho Grande Landerwood,84,7620 N 10th Ave,HOUSE,
333,2015-12-15 15:34:10.464205,2015-12-15 16:52:27.610000,2,Rancho Grande Landerwood,85,7630 N 10th Ave,HOUSE,
335,2015-12-15 15:41:05.020748,2015-12-15 16:57:51.316000,2,Rancho Grande Landerwood,68,1002 W Wagon Wheel Dr,HOUSE,
407,2015-12-16 14:30:23.602201,2015-12-16 15:30:17.467000,2,Rancho Grande Landerwood,35,909 W Vista Ave,HOUSE,
334,2015-12-15 15:38:52.729662,2015-12-15 17:01:33.372000,2,Rancho Grande Landerwood,90,932 W Kaler Dr,HOUSE,
363,2015-12-15 22:14:11.697569,2015-12-15 23:25:40.382000,2,Rancho Grande Landerwood,61,800 W Wagon Wheel Dr,HOUSE,
338,2015-12-15 16:13:46.630184,2015-12-15 17:18:57.706000,2,Rancho Grande Landerwood,88,7625 N 10th Ave,HOUSE,
346,2015-12-15 17:48:31.815849,2015-12-15 19:25:53.013000,2,Rancho Grande Landerwood,110,1006 W Frier Dr,HOUSE,
337,2015-12-15 16:02:00.373558,2015-12-15 17:30:39.471000,2,Rancho Grande Landerwood,70,1019 W Kaler Dr,HOUSE,
356,2015-12-15 19:28:27.364019,2015-12-15 23:32:05.235000,2,Rancho Grande Landerwood,76,909 W Kaler Dr,HOUSE,
328,2015-12-15 12:54:42.146267,2015-12-15 17:42:30,2,Rancho Grande Landerwood,72,1001 W Kaler Dr,HOUSE,
339,2015-12-15 16:27:20.472262,2015-12-15 17:48:28.230000,2,Rancho Grande Landerwood,86,7640 N 10th Ave,HOUSE,
403,2015-12-16 13:32:22.774993,2015-12-16 14:30:13.181000,2,Rancho Grande Landerwood,62,1001 W Vista Ave,HOUSE,
395,2015-12-16 11:39:36.067057,2015-12-16 12:12:32.203000,2,Rancho Grande Landerwood,117,7800 N 7th Ave,HOUSE,
360,2015-12-15 21:18:59.294577,2015-12-16 00:44:04.032000,2,Rancho Grande Landerwood,95,7645 N 9th Ave,HOUSE,
344,2015-12-15 17:32:14.575875,2015-12-15 19:28:33.970000,2,Rancho Grande Landerwood,73,939 W Kaler Dr,HOUSE,
349,2015-12-15 18:28:00.908560,2015-12-15 19:50:13.160000,2,Rancho Grande Landerwood,87,7635 N 10th Ave,HOUSE,
348,2015-12-15 18:23:15.537460,2015-12-15 20:07:31.738000,2,Rancho Grande Landerwood,65,902 W Wagon Wheel Dr,HOUSE,
347,2015-12-15 18:23:11.104323,2015-12-15 20:07:35.702000,2,Rancho Grande Landerwood,66,910 W Wagon Wheel Dr,HOUSE,
412,2015-12-16 15:48:53.644265,2015-12-16 16:21:04.762000,2,Rancho Grande Landerwood,129,7516 N 7th Ave,HOUSE,
362,2015-12-15 21:44:25.426301,2015-12-16 00:46:44.921000,2,Rancho Grande Landerwood,100,901 W Frier Dr,HOUSE,
351,2015-12-15 18:50:19.168062,2015-12-15 20:15:36.335000,2,Rancho Grande Landerwood,111,7709 N 11th Ave,HOUSE,
353,2015-12-15 19:12:47.650301,2015-12-15 21:18:54.434000,2,Rancho Grande Landerwood,94,7633 N 9th Ave,HOUSE,
372,2015-12-15 23:32:13.729703,2015-12-16 05:02:39.594000,2,Rancho Grande Landerwood,77,901 W Kaler Dr,HOUSE,
359,2015-12-15 20:11:23.482104,2015-12-15 21:23:35.856000,2,Rancho Grande Landerwood,63,814 W Wagon Wheel Dr,HOUSE,
396,2015-12-16 11:39:43.874940,2015-12-16 12:16:16.456000,2,Rancho Grande Landerwood,114,7718 N 7th Ave,HOUSE,
358,2015-12-15 20:11:20.645879,2015-12-15 21:40:40.235000,2,Rancho Grande Landerwood,64,822 W Wagon Wheel Dr,HOUSE,
350,2015-12-15 18:28:22.308539,2015-12-15 21:44:17.036000,2,Rancho Grande Landerwood,99,7646 N 9th Ave,HOUSE,
382,2015-12-16 02:56:22.930164,2015-12-16 05:03:00.838000,2,Rancho Grande Landerwood,104,722 W Frier Dr,HOUSE,
361,2015-12-15 21:23:42.699339,2015-12-15 22:14:08.886000,2,Rancho Grande Landerwood,131,806 W Wagon Wheel Dr,HOUSE,
383,2015-12-16 04:24:00.066795,2015-12-16 05:20:05.389000,2,Rancho Grande Landerwood,126,7540 N 7th Ave,HOUSE,
355,2015-12-15 19:26:01.903682,2015-12-15 22:20:05.474000,2,Rancho Grande Landerwood,109,1002 W Frier Dr,HOUSE,
384,2015-12-16 04:24:13.604879,2015-12-16 06:33:50.694000,2,Rancho Grande Landerwood,125,7548 N 7th Ave,HOUSE,
368,2015-12-15 23:24:22.083498,2015-12-16 01:18:50.854000,2,Rancho Grande Landerwood,50,1017 W Wagon Wheel Dr,HOUSE,
357,2015-12-15 19:28:30.536492,2015-12-15 22:23:11.073000,2,Rancho Grande Landerwood,75,919 W Kaler Dr,HOUSE,
352,2015-12-15 19:12:43.773284,2015-12-15 22:32:34.556000,2,Rancho Grande Landerwood,93,716 W Kaler Dr,HOUSE,
394,2015-12-16 11:30:38.780828,2015-12-16 12:21:36.844000,2,Rancho Grande Landerwood,49,1018 W Vista Ave,HOUSE,
369,2015-12-15 23:24:29.148185,2015-12-16 01:19:03.367000,2,Rancho Grande Landerwood,51,1009 W Wagon Wheel Dr,HOUSE,
374,2015-12-16 00:44:51.466538,2015-12-16 06:35:28.868000,2,Rancho Grande Landerwood,105,730 W Frier Dr,HOUSE,
370,2015-12-15 23:24:42.502934,2015-12-16 01:19:14.888000,2,Rancho Grande Landerwood,52,1001 W Wagon Wheel Dr,HOUSE,
387,2015-12-16 04:46:02.501171,2015-12-16 10:00:30.219000,2,Rancho Grande Landerwood,78,721 W Kaler Dr,HOUSE,
367,2015-12-15 23:06:21.858572,2015-12-16 01:29:19.782000,2,Rancho Grande Landerwood,108,918 W Frier Dr,HOUSE,
411,2015-12-16 15:04:54.334806,2015-12-16 15:52:14.592000,2,Rancho Grande Landerwood,114,7718 N 7th Ave,HOUSE,
388,2015-12-16 04:46:39.537680,2015-12-16 10:00:53.969000,2,Rancho Grande Landerwood,79,719 W Kaler Dr,HOUSE,
373,2015-12-16 00:44:30.589905,2015-12-16 02:27:57.495000,2,Rancho Grande Landerwood,106,902 W Frier Dr,HOUSE,
385,2015-12-16 04:25:02.592717,2015-12-16 10:01:03.969000,2,Rancho Grande Landerwood,103,718 W Frier Dr,HOUSE,
377,2015-12-16 01:06:18.493218,2015-12-16 02:28:29.643000,2,Rancho Grande Landerwood,56,823 W Wagon Wheel Dr,HOUSE,
371,2015-12-15 23:24:50.431794,2015-12-16 02:30:49.221000,2,Rancho Grande Landerwood,53,917 W Wagon Wheel Dr,HOUSE,
386,2015-12-16 04:25:19.952955,2015-12-16 10:01:21.469000,2,Rancho Grande Landerwood,102,716 W Frier Dr,HOUSE,
366,2015-12-15 22:53:23.735713,2015-12-16 02:36:37.259000,2,Rancho Grande Landerwood,107,912 W Frier Dr,HOUSE,
416,2015-12-16 16:21:08.585062,2015-12-16 22:19:06.723000,2,Rancho Grande Landerwood,128,7524 N 7th Ave,HOUSE,
400,2015-12-16 12:37:15.340287,2015-12-16 12:37:25.900000,2,Rancho Grande Landerwood,62,1001 W Vista Ave,HOUSE,
379,2015-12-16 02:28:14.215882,2015-12-16 02:56:42.304000,2,Rancho Grande Landerwood,106,902 W Frier Dr,HOUSE,
378,2015-12-16 01:19:28.773151,2015-12-16 03:09:30.395000,2,Rancho Grande Landerwood,54,909 W Wagon Wheel Dr,HOUSE,
375,2015-12-16 01:05:49.066882,2015-12-16 03:13:20.706000,2,Rancho Grande Landerwood,58,805 W Wagon Wheel Dr,HOUSE,
365,2015-12-15 22:32:46.840639,2015-12-16 03:53:02.091000,2,Rancho Grande Landerwood,96,727 W Frier Dr,HOUSE,
406,2015-12-16 14:30:20.153596,2015-12-16 14:45:26.339000,2,Rancho Grande Landerwood,34,917 W Vista Ave,HOUSE,
376,2015-12-16 01:06:01.205051,2015-12-16 04:22:54.121000,2,Rancho Grande Landerwood,57,815 W Wagon Wheel Dr,HOUSE,
393,2015-12-16 11:30:33.778247,2015-12-16 12:37:37.513000,2,Rancho Grande Landerwood,31,1017 W Vista Ave,HOUSE,
399,2015-12-16 12:25:09.085266,2015-12-16 13:23:21.234000,2,Rancho Grande Landerwood,48,1010 W Vista Ave,HOUSE,
389,2015-12-16 10:02:10.574938,2015-12-16 11:30:01.977000,2,Rancho Grande Landerwood,122,7622 N 7th Ave,HOUSE,
392,2015-12-16 10:13:15.665513,2015-12-16 11:30:09.211000,2,Rancho Grande Landerwood,121,7632 N 7th Ave,HOUSE,
391,2015-12-16 10:13:09.574446,2015-12-16 11:30:13.580000,2,Rancho Grande Landerwood,120,7642 N 7th Ave,HOUSE,
390,2015-12-16 10:13:04.689532,2015-12-16 11:30:18.428000,2,Rancho Grande Landerwood,119,7702 N 7th Ave,HOUSE,
397,2015-12-16 12:15:20.546868,2015-12-16 14:48:40.263000,2,Rancho Grande Landerwood,116,7748 N 7th Ave,HOUSE,
401,2015-12-16 12:37:33.495743,2015-12-16 13:32:18.343000,2,Rancho Grande Landerwood,32,1009 W Vista Ave,HOUSE,
408,2015-12-16 14:30:27.288738,2015-12-16 15:54:36.307000,2,Rancho Grande Landerwood,36,901 W Vista Ave,HOUSE,
398,2015-12-16 12:16:22.000477,2015-12-16 13:42:46.857000,2,Rancho Grande Landerwood,115,7740 N 7th Ave,HOUSE,
423,2015-12-16 20:10:46.201354,2015-12-16 21:19:22.531000,2,Rancho Grande Landerwood,41,806 W Vista Ave,HOUSE,
405,2015-12-16 14:02:15.806701,2015-12-16 15:00:47.967000,2,Rancho Grande Landerwood,46,918 W Vista Ave,HOUSE,
402,2015-12-16 13:23:26.150325,2015-12-16 14:02:11.808000,2,Rancho Grande Landerwood,47,1002 W Vista Ave,HOUSE,
418,2015-12-16 17:57:55.884351,2015-12-16 19:13:01.580000,2,Rancho Grande Landerwood,43,824 W Vista Ave,HOUSE,
415,2015-12-16 16:19:56.800484,2015-12-16 17:57:47.679000,2,Rancho Grande Landerwood,42,816 W Vista Ave,HOUSE,
404,2015-12-16 13:42:50.814072,2015-12-16 15:04:57.463000,2,Rancho Grande Landerwood,130,7730 N 7th Ave,HOUSE,
410,2015-12-16 15:00:55.753660,2015-12-16 16:01:08.709000,2,Rancho Grande Landerwood,45,910 W Vista Ave,HOUSE,
409,2015-12-16 14:45:43.255030,2015-12-16 15:15:55.662000,2,Rancho Grande Landerwood,34,917 W Vista Ave,HOUSE,
417,2015-12-16 16:23:29.898754,2015-12-16 17:57:52.317000,2,Rancho Grande Landerwood,38,815 W Vista Ave,HOUSE,
414,2015-12-16 15:54:56.262745,2015-12-16 16:09:57.187000,2,Rancho Grande Landerwood,36,901 W Vista Ave,HOUSE,
424,2015-12-16 20:13:54.989898,2015-12-16 21:19:36.947000,2,Rancho Grande Landerwood,127,7530 N 7th Ave,HOUSE,
421,2015-12-16 19:17:19.483129,2015-12-16 19:18:03.038000,2,Rancho Grande Landerwood,36,901 W Vista Ave,HOUSE,
422,2015-12-16 19:18:17.237393,2015-12-16 20:13:49.503000,2,Rancho Grande Landerwood,39,807 W Vista Ave,HOUSE,
419,2015-12-16 17:58:00.172782,2015-12-16 19:17:58.960000,2,Rancho Grande Landerwood,37,823 W Vista Ave,HOUSE,
420,2015-12-16 19:13:04.497850,2015-12-16 20:10:58.212000,2,Rancho Grande Landerwood,44,902 W Vista Ave,HOUSE,
413,2015-12-16 15:52:20.604243,2015-12-16 19:32:13.596000,2,Rancho Grande Landerwood,101,714 W Frier Dr,HOUSE,
425,2015-12-16 21:20:31.052081,2015-12-16 22:18:53.296000,2,Rancho Grande Landerwood,40,7529 N 8th Ave,HOUSE,
426,2015-12-16 21:20:39.548143,2015-12-16 22:06:34.965000,2,Rancho Grande Landerwood,124,7602 N 7th Ave,HOUSE,
435,2016-02-18 15:25:08.774314,2016-02-18 19:29:55.997000,3,Hoffman Terrace,137,2507 E Roma Ave,HOUSE,
429,2016-02-18 15:21:47.343190,2016-02-19 00:24:21.360000,3,Hoffman Terrace,,,MAIN,
430,2016-02-18 15:24:18.363743,2016-02-18 17:35:35.236000,3,Hoffman Terrace,132,2501 E Campbell Ave,HOUSE,
439,2016-02-18 15:26:54.456505,2016-02-18 19:54:01.897000,3,Hoffman Terrace,148,2501 E Turney Ave,HOUSE,
436,2016-02-18 15:25:12.910380,2016-02-18 18:04:29.224000,3,Hoffman Terrace,138,2513 E Roma Ave,HOUSE,
433,2016-02-18 15:24:56.680658,2016-02-18 17:35:26.007000,3,Hoffman Terrace,135,2524 E Roma Ave,HOUSE,
434,2016-02-18 15:25:03.836725,2016-02-18 16:45:50.556000,3,Hoffman Terrace,136,2501 E Roma Ave,HOUSE,
438,2016-02-18 15:26:09.553701,2016-02-18 18:46:06.059000,3,Hoffman Terrace,139,2519 E Roma Ave,HOUSE,
483,2016-02-18 19:38:11.272085,2016-02-18 22:28:43.230000,3,Hoffman Terrace,168,2524 E Glenrosa Ave,HOUSE,
458,2016-02-18 15:33:56.320962,2016-02-18 19:11:33.838000,3,Hoffman Terrace,181,2503 E Heatherbrae Dr,HOUSE,
437,2016-02-18 15:26:05.412662,2016-02-18 19:16:19.249000,3,Hoffman Terrace,145,2522 E Turney Ave,HOUSE,
474,2016-02-18 18:54:54.551035,2016-02-18 19:38:06.061000,3,Hoffman Terrace,167,2520 E Glenrosa Ave,HOUSE,
484,2016-02-18 19:38:17.821721,2016-02-18 22:28:47.853000,3,Hoffman Terrace,169,2530 E Glenrosa Ave,HOUSE,
506,2016-02-23 13:18:28.779785,2016-02-23 15:35:17.965000,2,Rancho Grande Landerwood,81,7619 N 11th Ave,HOUSE,
463,2016-02-18 17:13:15.100114,2016-02-18 19:48:04.257000,3,Hoffman Terrace,208,2546 E Monterosa St,HOUSE,
462,2016-02-18 17:06:52.357706,2016-02-18 22:37:28.766000,3,Hoffman Terrace,156,2524 E Montecito Ave,HOUSE,
532,2016-02-23 20:15:21.861731,2016-02-23 21:39:19.899000,2,Rancho Grande Landerwood,63,814 W Wagon Wheel Dr,HOUSE,
465,2016-02-18 17:55:52.696119,2016-02-18 19:50:45.751000,3,Hoffman Terrace,182,2507 E Heatherbrae Dr,HOUSE,
492,2016-02-18 21:08:42.616403,2016-02-18 22:43:14.205000,3,Hoffman Terrace,171,2546 E Glenrosa Ave,HOUSE,
431,2016-02-18 15:24:28.184373,2016-02-18 15:51:10.716000,3,Hoffman Terrace,133,2508 E Roma Ave,HOUSE,
511,2016-02-23 15:59:38.662861,2016-02-23 17:24:04.345000,2,Rancho Grande Landerwood,68,1002 W Wagon Wheel Dr,HOUSE,
452,2016-02-18 15:31:48.814870,2016-02-18 17:00:25.523000,3,Hoffman Terrace,205,2520 E Monterosa St,HOUSE,
499,2016-02-23 13:17:14.477580,2016-02-23 15:38:36.221000,2,Rancho Grande Landerwood,82,1018 W Kaler Dr,HOUSE,
453,2016-02-18 15:31:56.308419,2016-02-18 17:02:23.209000,3,Hoffman Terrace,206,2524 E Monterosa St,HOUSE,
488,2016-02-18 19:57:59.010140,2016-02-18 22:51:01.536000,3,Hoffman Terrace,164,2527 E Montecito Ave,HOUSE,
440,2016-02-18 15:26:58.634611,2016-02-18 17:06:41.869000,3,Hoffman Terrace,149,2507 E Turney Ave,HOUSE,
502,2016-02-23 13:17:27.502685,2016-02-23 17:26:41.350000,2,Rancho Grande Landerwood,72,1001 W Kaler Dr,HOUSE,
446,2016-02-18 15:29:33.313765,2016-02-18 17:11:07.206000,3,Hoffman Terrace,213,2535 E Monterosa St,HOUSE,
451,2016-02-18 15:31:08.436874,2016-02-18 17:13:07.702000,3,Hoffman Terrace,204,2508 E Monterosa St,HOUSE,
491,2016-02-18 21:08:38.639918,2016-02-18 23:09:49.079000,3,Hoffman Terrace,165,2535 E Montecito Ave,HOUSE,
500,2016-02-23 13:17:18.269092,2016-02-23 15:41:35.438000,2,Rancho Grande Landerwood,83,7612 N 10th Ave,HOUSE,
432,2016-02-18 15:24:32.942526,2016-02-18 17:35:30.702000,3,Hoffman Terrace,134,2520 E Roma Ave,HOUSE,
455,2016-02-18 15:33:04.607066,2016-02-18 17:55:48.332000,3,Hoffman Terrace,192,2514 E Devonshire Ave,HOUSE,
489,2016-02-18 20:10:59.087350,2016-02-18 23:09:52.678000,3,Hoffman Terrace,163,2523 E Montecito Ave,HOUSE,
504,2016-02-23 13:17:44.976455,2016-02-23 15:45:28.448000,2,Rancho Grande Landerwood,92,910 W Kaler Dr,HOUSE,
473,2016-02-18 18:54:49.624367,2016-02-18 23:09:57.541000,3,Hoffman Terrace,161,2513 E Montecito Ave,HOUSE,
450,2016-02-18 15:31:04.383072,2016-02-18 17:59:26.518000,3,Hoffman Terrace,198,2507 E Devonshire Ave,HOUSE,
482,2016-02-18 19:17:09.428158,2016-02-18 23:52:40.503000,3,Hoffman Terrace,141,2535 E Roma Ave,HOUSE,
472,2016-02-18 18:54:45.480850,2016-02-18 19:57:52.432000,3,Hoffman Terrace,160,2507 E Montecito Ave,HOUSE,
449,2016-02-18 15:31:01.043415,2016-02-18 18:07:40.205000,3,Hoffman Terrace,197,2503 E Devonshire Ave,HOUSE,
529,2016-02-23 19:36:41.913647,2016-02-23 20:59:04.833000,2,Rancho Grande Landerwood,87,7635 N 10th Ave,HOUSE,
442,2016-02-18 15:28:37.400404,2016-02-18 18:17:04.443000,3,Hoffman Terrace,209,2507 E Monterosa St,HOUSE,
445,2016-02-18 15:29:28.594478,2016-02-18 18:17:11.966000,3,Hoffman Terrace,212,2523 E Monterosa St,HOUSE,
496,2016-02-18 22:05:29.194190,2016-02-18 23:52:45.777000,3,Hoffman Terrace,142,2539 E Roma Ave,HOUSE,
441,2016-02-18 15:27:04.927738,2016-02-18 18:24:20.295000,3,Hoffman Terrace,155,2514 E Montecito Ave,HOUSE,
454,2016-02-18 15:32:25.416533,2016-02-18 20:06:45.507000,3,Hoffman Terrace,199,2519 E Devonshire Ave,HOUSE,
456,2016-02-18 15:33:09.771025,2016-02-18 18:50:53.363000,3,Hoffman Terrace,191,2508 E Devonshire Ave,HOUSE,
494,2016-02-18 22:00:39.033894,2016-02-19 00:03:03.144000,3,Hoffman Terrace,158,2540 E Montecito Ave,HOUSE,
516,2016-02-23 16:55:37.045375,2016-02-23 18:53:50.521000,2,Rancho Grande Landerwood,73,939 W Kaler Dr,HOUSE,
525,2016-02-23 18:53:44.444640,2016-02-23 20:12:27.533000,2,Rancho Grande Landerwood,65,902 W Wagon Wheel Dr,HOUSE,
486,2016-02-18 19:54:28.400614,2016-02-19 00:15:08.102000,3,Hoffman Terrace,157,2528 E Montecito Ave,HOUSE,
505,2016-02-23 13:17:48.968506,2016-02-23 15:59:41.476000,2,Rancho Grande Landerwood,69,1018 W Wagon Wheel Dr,HOUSE,
471,2016-02-18 18:54:40.813459,2016-02-18 20:10:36.573000,3,Hoffman Terrace,166,2508 E Glenrosa Ave,HOUSE,
476,2016-02-18 18:56:10.607090,2016-02-18 18:56:11.306000,3,Hoffman Terrace,209,2507 E Monterosa St,HOUSE,
443,2016-02-18 15:28:42.708650,2016-02-18 18:56:19.409000,3,Hoffman Terrace,210,2513 E Monterosa St,HOUSE,
512,2016-02-23 16:01:25.715136,2016-02-23 17:37:53.118000,2,Rancho Grande Landerwood,70,1019 W Kaler Dr,HOUSE,
444,2016-02-18 15:28:53.604689,2016-02-18 18:56:23.012000,3,Hoffman Terrace,211,2519 E Monterosa St,HOUSE,
493,2016-02-18 22:00:35.316111,2016-02-19 00:15:11.279000,3,Hoffman Terrace,154,2539 E Turney Ave,HOUSE,
447,2016-02-18 15:29:39.854769,2016-02-18 18:56:26.675000,3,Hoffman Terrace,214,2539 E Monterosa St,HOUSE,
460,2016-02-18 17:02:28.113448,2016-02-18 20:14:04.472000,3,Hoffman Terrace,200,2523 E Devonshire Ave,HOUSE,
448,2016-02-18 15:29:43.446930,2016-02-18 18:56:29.899000,3,Hoffman Terrace,215,2545 E Monterosa St,HOUSE,
501,2016-02-23 13:17:23.696134,2016-02-23 16:00:42.705000,2,Rancho Grande Landerwood,71,1009 W Kaler Dr,HOUSE,
490,2016-02-18 20:27:42.980768,2016-02-19 00:15:15.737000,3,Hoffman Terrace,153,2535 E Turney Ave,HOUSE,
517,2016-02-23 17:03:00.494236,2016-02-23 19:13:07.883000,2,Rancho Grande Landerwood,91,922 W Kaler Dr,HOUSE,
487,2016-02-18 19:54:32.731159,2016-02-19 00:15:22.660000,3,Hoffman Terrace,152,2529 E Turney Ave,HOUSE,
459,2016-02-18 17:00:20.622547,2016-02-18 20:20:20.166000,3,Hoffman Terrace,207,2536 E Monterosa St,HOUSE,
470,2016-02-18 18:25:27.506480,2016-02-19 00:15:37.904000,3,Hoffman Terrace,151,2523 E Turney Ave,HOUSE,
466,2016-02-18 17:55:56.753786,2016-02-18 20:22:41.429000,3,Hoffman Terrace,183,2513 E Heatherbrae Dr,HOUSE,
481,2016-02-18 18:59:43.843360,2016-02-18 20:51:31.509000,3,Hoffman Terrace,187,2535 E Heatherbrae Dr,HOUSE,
495,2016-02-18 22:00:43.561958,2016-02-19 00:24:12.109000,3,Hoffman Terrace,159,2544 E Montecito Ave,HOUSE,
469,2016-02-18 18:08:27.031582,2016-02-18 21:05:57.801000,3,Hoffman Terrace,203,2539 E Devonshire Ave,HOUSE,
508,2016-02-23 15:41:28.946438,2016-02-23 16:28:59.627000,2,Rancho Grande Landerwood,84,7620 N 10th Ave,HOUSE,
464,2016-02-18 17:14:09.457403,2016-02-18 21:06:03.260000,3,Hoffman Terrace,201,2529 E Devonshire Ave,HOUSE,
497,2016-02-18 22:44:29.190120,2016-02-19 00:24:15.993000,3,Hoffman Terrace,143,2545 E Roma Ave,HOUSE,
475,2016-02-18 18:55:11.596599,2016-02-18 21:14:16.310000,3,Hoffman Terrace,162,2519 E Montecito Ave,HOUSE,
478,2016-02-18 18:59:32.685454,2016-02-18 21:29:54.328000,3,Hoffman Terrace,194,2536 E Devonshire Ave,HOUSE,
498,2016-02-23 13:16:52.680153,2016-02-24 20:15:29.033000,2,Rancho Grande Landerwood,,,MAIN,
461,2016-02-18 17:06:48.182355,2016-02-18 21:37:45.205000,3,Hoffman Terrace,150,2519 E Turney Ave,HOUSE,
479,2016-02-18 18:59:35.953484,2016-02-18 21:46:03.416000,3,Hoffman Terrace,195,2540 E Devonshire Ave,HOUSE,
457,2016-02-18 15:33:16.231011,2016-02-18 21:54:11.887000,3,Hoffman Terrace,190,2504 E Devonshire Ave,HOUSE,
467,2016-02-18 17:56:00.444611,2016-02-18 21:54:16.099000,3,Hoffman Terrace,184,2519 E Heatherbrae Dr,HOUSE,
480,2016-02-18 18:59:40.112009,2016-02-18 21:54:23.666000,3,Hoffman Terrace,188,2539 E Heatherbrae Dr,HOUSE,
477,2016-02-18 18:59:28.873926,2016-02-18 21:54:38.673000,3,Hoffman Terrace,186,2529 E Heatherbrae Dr,HOUSE,
515,2016-02-23 16:34:38.314509,2016-02-23 18:10:34.865000,2,Rancho Grande Landerwood,88,7625 N 10th Ave,HOUSE,
485,2016-02-18 19:51:34.520998,2016-02-18 21:54:42.833000,3,Hoffman Terrace,196,2546 E Devonshire Ave,HOUSE,
468,2016-02-18 18:04:34.298574,2016-02-18 22:05:21.426000,3,Hoffman Terrace,140,2525 E Roma Ave,HOUSE,
503,2016-02-23 13:17:40.123210,2016-02-23 16:34:40.380000,2,Rancho Grande Landerwood,97,7630 N 9th Ave,HOUSE,
519,2016-02-23 17:26:48.524881,2016-02-23 18:25:43.430000,2,Rancho Grande Landerwood,74,929 W Kaler Dr,HOUSE,
521,2016-02-23 18:25:59.437030,2016-02-23 23:22:12.570000,2,Rancho Grande Landerwood,75,919 W Kaler Dr,HOUSE,
507,2016-02-23 15:35:30.229807,2016-02-23 17:00:00.316000,2,Rancho Grande Landerwood,85,7630 N 10th Ave,HOUSE,
538,2016-02-23 22:23:13.938645,2016-02-23 23:27:49.520000,2,Rancho Grande Landerwood,61,800 W Wagon Wheel Dr,HOUSE,
509,2016-02-23 15:45:36.030660,2016-02-23 17:05:45.239000,2,Rancho Grande Landerwood,90,932 W Kaler Dr,HOUSE,
530,2016-02-23 19:36:47.299407,2016-02-23 22:14:54.707000,2,Rancho Grande Landerwood,99,7646 N 9th Ave,HOUSE,
513,2016-02-23 16:28:56.021539,2016-02-23 18:32:03.670000,2,Rancho Grande Landerwood,86,7640 N 10th Ave,HOUSE,
527,2016-02-23 19:13:17.683042,2016-02-23 21:44:21.685000,2,Rancho Grande Landerwood,94,7633 N 9th Ave,HOUSE,
514,2016-02-23 16:29:17.174338,2016-02-23 19:18:07.323000,2,Rancho Grande Landerwood,113,7701 N 11th Ave,HOUSE,
510,2016-02-23 15:46:15.223115,2016-02-23 18:45:53.439000,2,Rancho Grande Landerwood,89,7615 N 10th Ave,HOUSE,
524,2016-02-23 18:53:37.948534,2016-02-23 20:28:56.575000,2,Rancho Grande Landerwood,66,910 W Wagon Wheel Dr,HOUSE,
